timestamp,condition,camPos,camPos-X,camPos-Y,camPos-Z,camDir,camDir-X,camDir-Y,camDir-Z,task,user
636057399358090807,OrbitCamera,CameraPosition,549.9999,678.3542,-1504.849,CameraDirection,9.765625E-08,-0.3826834,0.9238795,NT,user-08
636057399358247006,OrbitCamera,CameraPosition,549.9999,678.3542,-1504.849,CameraDirection,9.765625E-08,-0.3826834,0.9238795,NT,user-08
636057399358403202,OrbitCamera,CameraPosition,549.9999,678.3542,-1504.849,CameraDirection,9.765625E-08,-0.3826834,0.9238795,NT,user-08
636057399358558880,OrbitCamera,CameraPosition,549.9999,678.3542,-1504.849,CameraDirection,9.765625E-08,-0.3826834,0.9238795,NT,user-08
636057399358715630,OrbitCamera,CameraPosition,549.9999,678.3542,-1504.849,CameraDirection,9.765625E-08,-0.3826834,0.9238795,NT,user-08
636057399358871838,OrbitCamera,CameraPosition,549.9999,678.3542,-1504.849,CameraDirection,9.765625E-08,-0.3826834,0.9238795,NT,user-08
636057399359028017,OrbitCamera,CameraPosition,552.752,683.0654,-1518.516,CameraDirection,9.670387E-08,-0.3826835,0.9238796,NT,user-08
636057399359184229,OrbitCamera,CameraPosition,556.4547,691.8808,-1544.89,CameraDirection,9.497074E-08,-0.3826835,0.9238795,NT,user-08
636057399359496357,OrbitCamera,CameraPosition,565.0351,721.7433,-1620.798,CameraDirection,8.953501E-08,-0.3826835,0.9238795,NT,user-08
636057399359652516,OrbitCamera,CameraPosition,568.4367,742.1977,-1659.974,CameraDirection,8.615731E-08,-0.3826835,0.9238795,NT,user-08
636057399359808572,OrbitCamera,CameraPosition,570.9064,760.1547,-1698.387,CameraDirection,8.339533E-08,-0.3826835,0.9238795,NT,user-08
636057399359965202,OrbitCamera,CameraPosition,576.4063,774.0251,-1737.873,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399360120975,OrbitCamera,CameraPosition,577.9063,774.0251,-1732.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399360277639,OrbitCamera,CameraPosition,579.9063,774.0251,-1730.873,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399360433822,OrbitCamera,CameraPosition,582.9063,774.0251,-1730.873,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399360590046,OrbitCamera,CameraPosition,584.4063,774.0251,-1730.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399360746238,OrbitCamera,CameraPosition,584.4063,774.0251,-1724.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399360902417,OrbitCamera,CameraPosition,584.9063,774.0251,-1724.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399361058645,OrbitCamera,CameraPosition,586.4063,774.0251,-1723.873,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399361214849,OrbitCamera,CameraPosition,586.9063,774.0251,-1724.873,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399361371053,OrbitCamera,CameraPosition,587.4063,774.0251,-1724.873,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399361527244,OrbitCamera,CameraPosition,587.9063,774.0251,-1725.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399361683436,OrbitCamera,CameraPosition,587.9063,774.0251,-1725.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399361995404,OrbitCamera,CameraPosition,587.9063,774.0251,-1725.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399362151546,OrbitCamera,CameraPosition,587.9063,774.0251,-1725.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399362307746,OrbitCamera,CameraPosition,587.9063,774.0251,-1725.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
636057399362464459,OrbitCamera,CameraPosition,587.9063,774.0251,-1725.373,CameraDirection,8.138021E-08,-0.3826834,0.9238794,NT,user-08
