timestamp,condition,camPos,camPos-X,camPos-Y,camPos-Z,camDir,camDir-X,camDir-Y,camDir-Z,task,user
636056459354415587,SpatialInputCamera,CameraPosition,461.4059,688.4709,-1157.16,CameraDirection,0.263822,-0.6552125,0.70788,NT,user-01
636056459354571869,SpatialInputCamera,CameraPosition,461.4059,688.4709,-1157.16,CameraDirection,0.263822,-0.6552125,0.70788,NT,user-01
636056459354571869,SpatialInputCamera,CameraPosition,461.4059,688.4709,-1157.16,CameraDirection,0.263822,-0.6552125,0.70788,NT,user-01
636056459354884402,SpatialInputCamera,CameraPosition,461.2924,688.6711,-1156.796,CameraDirection,0.267682,-0.6571685,0.7046105,NT,user-01
636056459355040710,SpatialInputCamera,CameraPosition,461.1822,688.7242,-1156.318,CameraDirection,0.270069,-0.657708,0.7031946,NT,user-01
636056459355196968,SpatialInputCamera,CameraPosition,460.869,688.7463,-1155.549,CameraDirection,0.2719296,-0.6608502,0.6995221,NT,user-01
636056459355353185,SpatialInputCamera,CameraPosition,460.869,688.7463,-1155.549,CameraDirection,0.2719296,-0.6608502,0.6995221,NT,user-01
636056459355509452,SpatialInputCamera,CameraPosition,460.285,689.6763,-1154.484,CameraDirection,0.2718299,-0.6759252,0.6850063,NT,user-01
636056459355665723,SpatialInputCamera,CameraPosition,460.285,689.6763,-1154.484,CameraDirection,0.2718299,-0.6759252,0.6850063,NT,user-01
636056459355821989,SpatialInputCamera,CameraPosition,459.8844,689.9291,-1153.657,CameraDirection,0.2751572,-0.6826615,0.6769503,NT,user-01
636056459355978260,SpatialInputCamera,CameraPosition,458.9504,690.2018,-1152.007,CameraDirection,0.2817927,-0.6856043,0.6712226,NT,user-01
636056459356134522,SpatialInputCamera,CameraPosition,458.5652,690.3282,-1151.743,CameraDirection,0.2832949,-0.6867775,0.6693878,NT,user-01
636056459356290793,SpatialInputCamera,CameraPosition,458.5652,690.3282,-1151.743,CameraDirection,0.2832949,-0.6867775,0.6693878,NT,user-01
636056459356447063,SpatialInputCamera,CameraPosition,457.9171,690.8655,-1151.496,CameraDirection,0.2835771,-0.6881016,0.6679071,NT,user-01
636056459356603330,SpatialInputCamera,CameraPosition,457.9171,690.8655,-1151.496,CameraDirection,0.2835771,-0.6881016,0.6679071,NT,user-01
636056459356759600,SpatialInputCamera,CameraPosition,457.6424,690.8556,-1151.538,CameraDirection,0.2892769,-0.6857085,0.6679241,NT,user-01
636056459356915863,SpatialInputCamera,CameraPosition,457.2755,691.4017,-1152.196,CameraDirection,0.2877702,-0.6848501,0.6694538,NT,user-01
636056459357228658,SpatialInputCamera,CameraPosition,457.2755,691.4017,-1152.196,CameraDirection,0.2877702,-0.6848501,0.6694538,NT,user-01
636056459357384699,SpatialInputCamera,CameraPosition,456.7704,691.6624,-1151.874,CameraDirection,0.291844,-0.6782531,0.6743882,NT,user-01
636056459357540945,SpatialInputCamera,CameraPosition,456.7233,691.9451,-1152.466,CameraDirection,0.2911967,-0.6773821,0.6755424,NT,user-01
636056459357697273,SpatialInputCamera,CameraPosition,456.7233,691.9451,-1152.466,CameraDirection,0.2911967,-0.6773821,0.6755424,NT,user-01
636056459357853622,SpatialInputCamera,CameraPosition,456.6463,692.0803,-1153.023,CameraDirection,0.2910752,-0.6754296,0.6775467,NT,user-01
636056459358009732,SpatialInputCamera,CameraPosition,456.7461,692.2086,-1153.245,CameraDirection,0.2908039,-0.6729972,0.6800789,NT,user-01
636056459358166003,SpatialInputCamera,CameraPosition,456.9346,692.1685,-1153.052,CameraDirection,0.2915914,-0.6729046,0.6798337,NT,user-01
636056459358322269,SpatialInputCamera,CameraPosition,456.9346,692.1685,-1153.052,CameraDirection,0.2915914,-0.6729046,0.6798337,NT,user-01
636056459358478688,SpatialInputCamera,CameraPosition,457.0566,692.3147,-1153.067,CameraDirection,0.289207,-0.6747762,0.678997,NT,user-01
